Drink Type,Brand,Iced/Hot/Both,Made,Ingredients,Description,Available(Y/N),Alcoholic(Y/N)
Coffee,Stumptown Coffee Roasters,Both,Portland,"Roasted Stumptown beans, water ","Stumptown French Roast incorporates some of our finest Central and South American organic coffees, and is roasted to bring out a heightened body and sweetness. We select high quality, dense beans that can withstand a deep roast. Toasty but never burnt, this blend brings incredibly layered flavors within a classic dark cup. We love pairing our French Roast with a splash of cream, but it’s equally delicious served black. Nearly 20 years ago, Stumptown Coffee Roasters began roasting exemplary coffee. Headquartered in Portland, Oregon, Stumptown is committed to sourcing, roasting and serving some of the best coffee in the world. Achieving B Corp status in 2018, Stumptown strives to be a leader in sustainability and is focused on making sincere and lasting contributions to the environment as well as to their employees and community.",Y,N
Wine,sauvignon,Iced,American,"Green grape, water","Sauvignon blanc was first planted in California in the Livermore Valley in the 19th century thanks to newspaper-journalist-turned-winemaker Charles Wetmore who, in the late 1870s, persuaded the California legislature to establish the state viticultural commission.",Y,Y
Wine,Chardonnay,Iced,American,"Green grapes, water","Chardonnay was believed to be first planted in Chablis by the Cistercians at Pontigny Abbey in the 12th century. Today, the Chardonnay made in the Chablis region is one of the ""purest"" expression of the varietal character of the grape due to the simplistic style of winemaking favored in this region.",Y,Y
Soft Drink,Coca Cola,Iced,"Atlanta, Georgia","Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine","Coca-Cola, or Coke, is a carbonated soft drink manufactured by the Coca-Cola Company. Originally marketed as a temperance drink and intended as a patent medicine, it was invented in the late 19th century by John Stith Pemberton in Atlanta, Georgia.",Y,N
Soft Drink,Sprite,Iced,West Germany,"Carbonated Water, Sugar, Citric Acid, Sweeteners (Acesulfame K, Aspartame), Acidity Regulator (Sodium Citrate), Natural Lemon and Lime Flavourings.","Sprite was originally developed in West Germany in 1959. Sprite is a clear soda with a lemon-lime flavor and is known for its green color branding. It is caffeine-free, crisp tasting.",Y,N
Soft Drink,Root Beer,Iced,"Philadelphia, Pennsylvania","Water, Ginger Root, Cane Sugar, Licorice Root, Sarsaparilla Root, Dandelion Root","Root beer is a sweet North American soft drink traditionally made using the root bark of the sassafras tree Sassafras albidum or the vine of Smilax ornata for major taste. Root beer has been sold in confectionery stores since the 1840s, and written recipes for root beer have been documented since the 1860s. ",Y,N
Tea,Green tea,Hot,China,"green tea, water","Green tea originated in China, tracing back to 2737 B.C. The discovery occurred accidentally when the Chinese Emperor Shennong mistakenly drank water with a dead tea leaf boiled inside. He found the flavor refreshing; thus, a new beverage was born.",Y,N
Tea,Red tea,Hot,South Africa,"Rooibos leaves, water","Rooibos tea's history is rooted in the Cederberg region of beautiful South Africa. Khoisans, the indigenous Bushmen of the region, harvested the leaves from the Aspalathus Linearis plant for centuries. The leaves were used as herbal remedies for many ailments, and loved for their delicious taste.",Y,N
Tea,Ginger tea,Hot,China,"ginger, tea, water","Ginger tea has a long history dating back to China some 5,000 years ago, where it was traditionally used as a health tonic. Ginger was introduced to Europe much later, originally as a culinary spice.",Y,N
Tea,Jasmine tea,Hot,China,"jasmine tea ,water","Jasmine tea is closely associated with the city of Fuzhou in China. Jasmine was introduced to China during the Han dynasty, and was first used to scent tea soon after. The jasmine flower is considered one of the holy flowers in Buddhism, and has religious and cultural significance throughout Asia.",Y,N
Milk,Chocolate milk,Hot,American,"chocolate, milk",chocolate milk was first created by Hans Sloane in Jamaica during the late 1680's and early 1700's.,Y,N
Milk,Soy milk,Hot,American,"soy, milk","Its original form is an intermediate product of the manufacture of tofu. Originating in China, it became a common beverage in Europe and North America in the latter half of the 20th century, especially as production techniques were developed to give it a taste and consistency more closely resembling that of dairy milk.",Y,N
Juice,Orange juice,Iced,American,"Orange, water","It all starts in the orange groves of Florida back in the late 1920s. Up until then, orange juice was more of a luxury, something experienced seasonally and freshly squeezed. ",Y,N
Juice,Apple juice,Iced,American,"Apple, water","During the awakening of the health food movement in the 1960's, apple juice became synonymous with good health. The nation's apple juice industry began to grow rapidly.",Y,N
Juice,Watermelon juice,Iced,American,"Watermelon, water","Watermelon's high water content, antioxidants, and amino acids may make for a better workout. It's also high in potassium, a mineral that could cut down on cramps at the gym. You can sip watermelon juice after you sweat, too. Doing so could help prevent muscle soreness.",Y,N
Wine,pinot Gris,Iced,American,,,Y,Y
Wine,Lux chardonnay,Iced,American,,,Y,Y
Wine,Argentina,Iced,American,,,Y,Y
Soft Drink,Sunkist Orange Soda,Iced,"New Mexico, United States","Citric Acid, Natural And Artificial Flavors, Maltodextrin*, Aspartame†, Contains 2% Or Less Of The Following: Magnesium Oxide, Caffeine, Gum Acacia, Acesulfame Potassium, Artificial Color, Yellow 5, Red 40.",,Y,N
Soft Drink,7UP Lemon Lime Soda,Iced,"Saint Louis, United States","carbonated water, sugar, citrus oils, citric acid, sodium citrate and lithium citrate",,Y,N
Soft Drink,Diet Coke,Iced,"Atlanta, Georgia","Carbonated Water, Colour (Caramel E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings incl. Caffeine, Acidity Regulator (Sodium Citrate).",,Y,N
Soft Drink,Dr Pepper Coke,Iced,"Atlanta, Georgia","Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Preservative (Potassium Sorbate), Flavourings Including Caffeine, Sweeteners (Aspartame, Acesulfame K).",,Y,N
